requirement_id,legacy_source,ilaten_requirement,current_ilaios_canonical_equivalent,repository_implementation_evidence,status
ILATEN-00001,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:15,"All future architectural, engineering, security, operational, and product decisions must remain consistent with this document.",docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Canonical Authority,NONE,MISSING_IMPLEMENTATION
ILATEN-00002,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:17,The document shall evolve without changing previously accepted architectural decisions unless a formal Architecture Decision Record (ADR) explicitly supersedes them.,docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Canonical Authority,NONE,MISSING_IMPLEMENTATION
ILATEN-00003,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:21,The system shall not be redesigned unless explicitly authorized through the applicable governance process.,docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Canonical Authority,NONE,MISSING_IMPLEMENTATION
ILATEN-00004,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:25,Consistency shall be preserved across the entire document.,docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Canonical Authority,NONE,MISSING_IMPLEMENTATION
ILATEN-00005,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:27,"Upon formal approval and publication as Version 1.0, this document shall become the official public engineering standard of ILATEN. Until that approval, it remains the single controlled working source from which the canonical standard is produced.",docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Canonical Authority,NONE,MISSING_IMPLEMENTATION
ILATEN-00006,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:31,"Required enterprise-grade content shall not be replaced with outline-only text, abbreviated placeholders, or unsupported assertions.",docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Documentation Standards,NONE,MISSING_IMPLEMENTATION
ILATEN-00007,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:33,"Substantive reasoning, controls, obligations, boundaries, and decision context shall be preserved while unnecessary repetition is removed.",docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Documentation Standards,NONE,MISSING_IMPLEMENTATION
ILATEN-00008,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:35,The Executive Summary may summarize the document’s purpose and architecture. All other sections shall use the level of detail required by their subject and intended audience.,docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Documentation Standards,NONE,MISSING_IMPLEMENTATION
ILATEN-00009,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:37,Every section shall be written as enterprise-grade documentation.,docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Documentation Standards,NONE,MISSING_IMPLEMENTATION
ILATEN-00010,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:39,"Subsection and section page allocations are descriptive planning ranges derived from the current accepted content and standard reference rendering. When accepted content changes materially, the Index shall be updated to reflect the resulting page range rather than forcing arbitrary compression, expansion, omission, or repetition.",docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Documentation Standards,NONE,MISSING_IMPLEMENTATION
ILATEN-00011,dev/openclaw/migration_input/ILATEN_Enterprise_AI_Operating_System_Canonical_Architecture_v1.0(3)(4).md:43,Duplicate information shall be avoided.,docs/canonical/ILAIOS_ENTERPRISE_AI_OPERATING_SYSTEM_CANONICAL_ARCHITECTURE.md :: PREAMBLE / Documentation Standards,NONE,MISSING_IMPLEMENTATION
